ProvinceCode,RegistrationMonth,RegistrationYear,Spouse1Age,Spouse2Age,AgeDiff
Western Cape,April,2018,32,35,Spouses-1 younger
Western Cape,April,2018,28,31,Spouses-1 younger
Western Cape,April,2018,57,46,Spouses-1 older
Western Cape,April,2018,38,38,Spouses same age
Western Cape,April,2018,28,28,Spouses same age
Western Cape,April,2018,48,64,Spouses-1 younger
Western Cape,April,2018,34,34,Spouses same age
Western Cape,April,2018,35,38,Spouses-1 younger
Western Cape,April,2018,32,31,Spouses-1 older
Western Cape,April,2018,33,35,Spouses-1 younger
Western Cape,April,2018,31,25,Spouses-1 older
Western Cape,April,2018,38,34,Spouses-1 older
Western Cape,April,2018,49,54,Spouses-1 younger
Western Cape,April,2018,26,26,Spouses same age
Western Cape,May,2018,29,33,Spouses-1 younger
Western Cape,May,2018,24,30,Spouses-1 younger
Western Cape,May,2018,74,67,Spouses-1 older
Western Cape,May,2018,53,55,Spouses-1 younger
Western Cape,May,2018,43,37,Spouses-1 older
Western Cape,May,2018,58,57,Spouses-1 older
Western Cape,May,2018,26,24,Spouses-1 older
Western Cape,May,2018,46,34,Spouses-1 older
Western Cape,May,2018,23,24,Spouses-1 younger
Western Cape,May,2018,57,52,Spouses-1 older
Western Cape,May,2018,52,50,Spouses-1 older
Western Cape,May,2018,29,35,Spouses-1 younger
Western Cape,May,2018,74,76,Spouses-1 younger
Western Cape,May,2018,34,24,Spouses-1 older
Western Cape,May,2018,29,28,Spouses-1 older
Western Cape,May,2018,49,56,Spouses-1 younger
Western Cape,May,2018,36,29,Spouses-1 older
Western Cape,June,2018,53,42,Spouses-1 older
Western Cape,June,2018,36,37,Spouses-1 younger
Western Cape,June,2018,25,25,Spouses same age
Western Cape,June,2018,38,33,Spouses-1 older
Western Cape,June,2018,55,48,Spouses-1 older
Western Cape,June,2018,31,30,Spouses-1 older
Western Cape,June,2018,41,39,Spouses-1 older
Western Cape,June,2018,40,46,Spouses-1 younger
Western Cape,July,2018,42,42,Spouses same age
Western Cape,July,2018,54,50,Spouses-1 older
Western Cape,July,2018,47,46,Spouses-1 older
Western Cape,July,2018,46,45,Spouses-1 older
Western Cape,July,2018,24,25,Spouses-1 younger
Western Cape,July,2018,38,29,Spouses-1 older
Western Cape,July,2018,33,31,Spouses-1 older
Western Cape,July,2018,19,25,Spouses-1 younger
Western Cape,July,2018,33,31,Spouses-1 older
Western Cape,July,2018,34,34,Spouses same age
Western Cape,July,2018,34,21,Spouses-1 older
Western Cape,July,2018,40,26,Spouses-1 older
